,fit_time,score_time,test_r2,train_r2,test_neg_mean_squared_error,train_neg_mean_squared_error
0,756.979555606842,94.18993186950684,0.42005591708833245,0.8751819386726443,-0.5982634370871001,-1.830989429995971
1,656.6478123664856,76.5292739868164,0.40999826454442034,0.8739493011238613,-0.5669169383369549,-1.8270027691352597
2,638.4259443283081,76.25734519958496,0.6667403704109245,0.8773648904583851,-0.7026719236320339,-1.8122176016617044
3,634.6923944950104,75.89923644065857,0.7591507574903563,0.8864823589314829,-1.4957898990541834,-1.7340606012346773
4,626.2378551959991,76.44787406921387,0.7923393622526478,0.8717964640287619,-2.5993401493318298,-1.5890436212767538
5,613.9678337574005,75.65980553627014,0.8758204197229703,0.8629895921216013,-2.4485605897432787,-1.6230868174007784
6,606.0594775676727,74.80683946609497,0.652512822610054,0.8912573268475376,-4.015802444289587,-1.495387689539212
7,599.9100947380066,74.81839227676392,0.6943658657235352,0.8914799641680945,-2.8274169111649883,-1.6231275945682953
8,595.4845516681671,75.18891072273254,0.44750835280014845,0.8920293456849544,-2.406353219656533,-1.657904896640905
9,600.4379029273987,75.85903882980347,0.5733937449258578,0.8863126158840189,-1.3807296850341997,-1.7580319064628949
