,R2,tempo
1-100,0.9061603582310813,9.62894700000004
1-250,0.9284793713857086,22.32716800000003
1-500,0.9462263361871929,42.31401299999993
1-900,0.9580851128412742,106.73867399999972
1-1000,0.9601999589036463,122.01450000000023
1-1100,0.9617349179087834,135.20230299999957
1-1300,0.9641669315125438,156.18557200000032
1-1500,0.9656615983891167,180.79466999999977
1-2000,0.9682008624173981,271.4110020000003
1-2500,0.9696306096643544,334.1279590000004
1-3000,0.9701890765689416,378.9298030000009
1-3500,0.9706067207381933,299.70982000000004
1-4000,0.9710097427620334,331.3145139999997
